0: n01440764,丁鲷  
88: n01818515,金刚鹦鹉  
89: n01819313,硫冠鹦鹉  
90: n01820546,短尾鹦鹉  
91: n01824575,褐翅鸦鹃  
92: n01828970,蜜蜂  
93: n01829413,犀鸟  
94: n01833805,蜂鸟  
95: n01843065,鹟䴕  
96: n01843383,犀鸟  
97: n01847000,野鸭  
98: n01855032,红胸秋沙鸭  
99: n01855672,鹅  
100: n01860187,黑天鹅  
101: n01871265,大象  
102: n01872401,针鼹鼠  
103: n01873310,鸭嘴兽  
104: n01877812,沙袋鼠  
105: n01882714,考拉,考拉熊  
106: n01883070,袋熊  
107: n01910747,水母  
108: n01914609,海葵  
109: n01917289,脑珊瑚  
110: n01924916,扁形虫扁虫  
111: n01930112,线虫,蛔虫  
112: n01943899,海螺  
113: n01944390,蜗牛  
114: n01945685,鼻涕虫  
115: n01950731,海参  
116: n01955084,石鳖  
117: n01968897,鹦鹉螺  
118: n01978287,珍宝蟹  
119: n01978455,石蟹  
120: n01980166,招潮蟹  
121: n01981276,帝王蟹,阿拉斯加蟹,阿拉斯加帝王蟹  
122: n01983481,美国龙虾,缅因州龙虾  
123: n01984695,大螯虾  
124: n01985128,小龙虾  
125: n01986214,寄居蟹  
126: n01990800,等足目动物(明虾和螃蟹近亲)  
127: n02002556,白鹳  
128: n02002724,黑鹳  
129: n02006656,鹭  
130: n02007558,火烈鸟  
131: n02009229,小蓝鹭  
132: n02009912,美国鹭,大白鹭  
133: n02011460,麻鸦  
134: n02012849,鹤  
135: n02013706,秧鹤  
136: n02017213,欧洲水鸡,紫水鸡  
137: n02018207,沼泽泥母鸡,水母鸡  
138: n02018795,鸨  
139: n02025239,红翻石鹬  
140: n02027492,红背鹬,黑腹滨鹬  
141: n02028035,红脚鹬  
142: n02033041,半蹼鹬  
143: n02037110,蛎鹬  
144: n02051845,鹈鹕  
145: n02056570,国王企鹅  
146: n02058221,信天翁,大海鸟  
147: n02066245,灰鲸  
148: n02071294,杀人鲸,逆戟鲸,虎鲸  
149: n02074367,海牛  
150: n02077923,海狮  
151: n02085620,奇瓦瓦  
152: n02085782,日本猎犬  
153: n02085936,马尔济斯犬  
154: n02086079,狮子狗  
155: n02086240,西施犬  
156: n02086646,布莱尼姆猎犬  
157: n02086910,巴比狗  
158: n02087046,玩具犬  
159: n02087394,罗得西亚长背猎狗  
160: n02088094,阿富汗猎犬  
161: n02088238,猎犬  
162: n02088364,比格犬,猎兔犬  
163: n02088466,侦探犬  
164: n02088632,蓝色快狗  
165: n02089078,黑褐猎浣熊犬  
166: n02089867,沃克猎犬  
167: n02089973,英国猎狐犬  
168: n02090379,美洲赤狗  
169: n02090622,俄罗斯猎狼犬  
170: n02090721,爱尔兰猎狼犬  
171: n02091032,意大利灰狗  
172: n02091134,惠比特犬  
173: n02091244,依比沙猎犬  
174: n02091467,挪威猎犬  
175: n02091635,奥达猎犬,水獭猎犬  
176: n02091831,沙克犬,瞪羚猎犬  
177: n02092002,苏格兰猎鹿犬,猎鹿犬  
178: n02092339,威玛猎犬  
179: n02093256,斯塔福德郡牛头梗,斯塔福德郡斗牛梗  
180: n02093428,美国斯塔福德郡梗,美国比特斗牛梗,斗牛梗  
181: n02093647,贝德灵顿梗  
182: n02093754,边境梗  
183: n02093859,凯丽蓝梗  
184: n02093991,爱尔兰梗  
185: n02094114,诺福克梗  
186: n02094258,诺维奇梗  
187: n02094433,约克郡梗  
188: n02095314,刚毛猎狐梗  
189: n02095570,莱克兰梗  
190: n02095889,锡利哈姆梗  
191: n02096051,艾尔谷犬  
192: n02096177,凯恩梗  
193: n02096294,澳大利亚梗  
194: n02096437,丹迪丁蒙梗  
195: n02096585,波士顿梗  
196: n02097047,迷你雪纳瑞犬  
197: n02097130,巨型雪纳瑞犬  
198: n02097209,标准雪纳瑞犬  
199: n02097298,苏格兰梗  
200: n02097474,西藏梗,菊花狗  
201: n02097658,丝毛梗  
202: n02098105,软毛麦色梗  
203: n02098286,西高地白梗  
204: n02098413,拉萨阿普索犬  
205: n02099267,平毛寻回犬  
206: n02099429,卷毛寻回犬  
207: n02099601,金毛猎犬  
208: n02099712,拉布拉多猎犬  
209: n02099849,乞沙比克猎犬  
210: n02100236,德国短毛猎犬  
211: n02100583,维兹拉犬  
212: n02100735,英国谍犬  
213: n02100877,爱尔兰雪达犬,红色猎犬  
214: n02101006,戈登雪达犬  
215: n02101388,布列塔尼犬猎犬  
216: n02101556,黄毛,黄毛猎犬  
217: n02102040,英国史宾格犬  
218: n02102177,威尔士史宾格犬  
219: n02102318,可卡犬,英国可卡犬  
220: n02102480,萨塞克斯猎犬  
221: n02102973,爱尔兰水猎犬  
222: n02104029,哥威斯犬  
223: n02104365,舒柏奇犬  
224: n02105056,比利时牧羊犬  
225: n02105162,马里努阿犬  
226: n02105251,伯瑞犬  
227: n02105412,凯尔皮犬  
228: n02105505,匈牙利牧羊犬  
229: n02105641,老英国牧羊犬  
230: n02105855,喜乐蒂牧羊犬  
231: n02106030,牧羊犬  
232: n02106166,边境牧羊犬  
233: n02106382,法兰德斯牧牛狗  
234: n02106550,罗特韦尔犬  
235: n02106662,德国牧羊犬,德国警犬,阿尔萨斯  
236: n02107142,多伯曼犬,杜宾犬  
237: n02107312,迷你杜宾犬  
238: n02107574,大瑞士山地犬  
239: n02107683,伯恩山犬  
240: n02107908,Appenzeller狗  
241: n02108000,EntleBucher狗  
242: n02108089,拳师狗  
243: n02108422,斗牛獒  
244: n02108551,藏獒  
245: n02108915,法国斗牛犬  
246: n02109047,大丹犬  
247: n02109525,圣伯纳德狗  
248: n02109961,爱斯基摩犬,哈士奇  
249: n02110063,雪橇犬,阿拉斯加爱斯基摩狗  
250: n02110185,哈士奇  
251: n02110341,达尔马提亚,教练车狗  
252: n02110627,狮毛狗  
253: n02110806,巴辛吉狗  
254: n02110958,哈巴狗,狮子狗  
255: n02111129,莱昂贝格狗  
256: n02111277,纽芬兰岛狗  
257: n02111500,大白熊犬  
258: n02111889,萨摩耶犬  
259: n02112018,博美犬  
260: n02112137,松狮,松狮  
261: n02112350,荷兰卷尾狮毛狗  
262: n02112706,布鲁塞尔格林芬犬  
263: n02113023,彭布洛克威尔士科基犬  
264: n02113186,威尔士柯基犬  
265: n02113624,玩具贵宾犬  
266: n02113712,迷你贵宾犬  
267: n02113799,标准贵宾犬  
268: n02113978,墨西哥无毛犬  
269: n02114367,灰狼  
270: n02114548,白狼,北极狼  
271: n02114712,红太狼,鬃狼,犬犬鲁弗斯  
272: n02114855,狼,草原狼,刷狼,郊狼  
273: n02115641,澳洲野狗,澳大利亚野犬  
274: n02115913,豺  
275: n02116738,非洲猎犬,土狼犬  
276: n02117135,鬣狗  
277: n02119022,红狐狸  
278: n02119789,沙狐  
279: n02120079,北极狐狸,白狐狸  
280: n02120505,灰狐狸  
281: n02123045,虎斑猫  
282: n02123159,山猫,虎猫  
283: n02123394,波斯猫  
284: n02123597,暹罗暹罗猫,  
285: n02124075,埃及猫  
286: n02125311,美洲狮,美洲豹  
287: n02127052,猞猁,山猫  
288: n02128385,豹子  
289: n02128757,雪豹  
290: n02128925,美洲虎  
291: n02129165,狮子  
292: n02129604,老虎  
293: n02130308,猎豹  
294: n02132136,棕熊  
295: n02133161,美洲黑熊  
296: n02134084,冰熊,北极熊  
297: n02134418,懒熊  
298: n02137549,猫鼬  
299: n02138441,猫鼬,海猫  
300: n02165105,虎甲虫  
301: n02165456,瓢虫  
302: n02167151,土鳖虫  
303: n02168699,天牛  
304: n02169497,龟甲虫  
305: n02172182,粪甲虫  
306: n02174001,犀牛甲虫  
307: n02177972,象甲  
308: n02190166,苍蝇  
309: n02206856,蜜蜂  
310: n02219486,蚂蚁  
311: n02226429,蚱蜢  
312: n02229544,蟋蟀  
313: n02231487,竹节虫  
314: n02233338,蟑螂  
315: n02236044,螳螂  
316: n02256656,蝉  
317: n02259212,叶蝉  
318: n02264363,草蜻蛉  
319: n02268443,蜻蜓  
320: n02268853,豆娘,蜻蛉  
321: n02276258,优红蛱蝶  
322: n02277742,小环蝴蝶  
323: n02279972,君主蝴蝶,大斑蝶  
324: n02280649,菜粉蝶  
325: n02281406,白蝴蝶  
326: n02281787,灰蝶  
327: n02317335,海星  
328: n02319095,海胆  
329: n02321529,海参,海黄瓜  
330: n02325366,野兔  
331: n02326432,兔  
332: n02328150,安哥拉兔  
333: n02342885,仓鼠  
334: n02346627,刺猬,豪猪,  
335: n02356798,黑松鼠  
336: n02361337,土拨鼠  
337: n02363005,海狸  
338: n02364673,豚鼠,豚鼠  
339: n02389026,栗色马  
340: n02391049,斑马  
341: n02395406,猪  
342: n02396427,野猪  
343: n02397096,疣猪  
344: n02398521,河马  
345: n02403003,牛  
346: n02408429,水牛,亚洲水牛  
347: n02410509,野牛  
348: n02412080,公羊  
349: n02415577,大角羊,洛矶山大角羊  
350: n02417914,山羊  
351: n02422106,狷羚  
352: n02422699,黑斑羚  
353: n02423022,瞪羚  
354: n02437312,阿拉伯单峰骆驼,骆驼  
355: n02437616,骆驼  
356: n02441942,黄鼠狼  
357: n02442845,水貂  
358: n02443114,臭猫  
359: n02443484,黑足鼬  
360: n02444819,水獭  
361: n02445715,臭鼬,木猫  
362: n02447366,獾  
363: n02454379,犰狳  
364: n02457408,树懒  
365: n02480495,猩猩,婆罗洲猩猩  
366: n02480855,大猩猩  
367: n02481823,黑猩猩  
368: n02483362,长臂猿  
369: n02483708,合趾猿长臂猿,合趾猿  
370: n02484975,长尾猴  
371: n02486261,赤猴  
372: n02486410,狒狒  
373: n02487347,恒河猴,猕猴  
374: n02488291,白头叶猴  
375: n02488702,疣猴  
376: n02489166,长鼻猴  
377: n02490219,狨（美洲产小型长尾猴）  
378: n02492035,卷尾猴  
379: n02492660,吼猴  
380: n02493509,伶猴  
381: n02493793,蜘蛛猴  
382: n02494079,松鼠猴  
383: n02497673,马达加斯加环尾狐猴,鼠狐猴  
384: n02500267,大狐猴,马达加斯加大狐猴  
385: n02504013,印度大象,亚洲象  
386: n02504458,非洲象,非洲象  
387: n02509815,小熊猫  
388: n02510455,大熊猫  
389: n02514041,杖鱼  
390: n02526121,鳗鱼  
391: n02536864,银鲑,银鲑鱼  
392: n02606052,三色刺蝶鱼  
393: n02607072,海葵鱼  
394: n02640242,鲟鱼  
395: n02641379,雀鳝  
396: n02643566,狮子鱼  
397: n02655020,河豚  
398: n02666196,算盘  
399: n02667093,长袍  
400: n02669723,学位袍  
401: n02672831,手风琴  
402: n02676566,原声吉他  
403: n02687172,航空母舰  
404: n02690373,客机  
405: n02692877,飞艇  
406: n02699494,祭坛  
407: n02701002,救护车  
408: n02704792,水陆两用车  
409: n02708093,模拟时钟  
410: n02727426,蜂房  
411: n02730930,围裙  
412: n02747177,垃圾桶  
413: n02749479,攻击步枪,枪  
414: n02769748,背包  
415: n02776631,面包店,面包铺,  
416: n02777292,平衡木  
417: n02782093,热气球  
418: n02783161,圆珠笔  
419: n02786058,创可贴  
420: n02787622,班卓琴  
421: n02788148,栏杆,楼梯扶手  
422: n02790996,杠铃  
423: n02791124,理发师的椅子  
424: n02791270,理发店  
425: n02793495,牲口棚  
426: n02794156,晴雨表  
427: n02795169,圆筒  
428: n02797295,园地小车,手推车  
429: n02799071,棒球  
430: n02802426,篮球  
431: n02804414,婴儿床  
432: n02804610,巴松管,低音管  
433: n02807133,游泳帽  
434: n02808304,沐浴毛巾  
435: n02808440,浴缸,澡盆  
436: n02814533,沙滩车,旅行车  
437: n02814860,灯塔  
438: n02815834,高脚杯  
439: n02817516,熊皮高帽  
440: n02823428,啤酒瓶  
441: n02823750,啤酒杯   
442: n02825657,钟塔  
443: n02834397,（小儿用的）围嘴  
444: n02835271,串联自行车,  
445: n02837789,比基尼  
446: n02840245,装订册  
447: n02841315,双筒望远镜  
448: n02843684,鸟舍  
449: n02859443,船库  
450: n02860847,雪橇  
451: n02865351,饰扣式领带  
452: n02869837,阔边女帽  
453: n02870880,书橱  
454: n02871525,书店,书摊  
455: n02877765,瓶盖  
456: n02879718,弓箭  
457: n02883205,蝴蝶结领结  
458: n02892201,铜制牌位  
459: n02892767,奶罩  
460: n02894605,防波堤,海堤  
461: n02895154,铠甲  
462: n02906734,扫帚  
463: n02909870,桶  
464: n02910353,扣环  
465: n02916936,防弹背心  
466: n02917067,动车,子弹头列车  
467: n02927161,肉铺,肉菜市场  
468: n02930766,出租车  
469: n02939185,大锅  
470: n02948072,蜡烛  
471: n02950826,大炮  
472: n02951358,独木舟  
473: n02951585,开瓶器,开罐器  
474: n02963159,开衫  
475: n02965783,车镜  
476: n02966193,旋转木马  
477: n02966687,木匠的工具包,工具包  
478: n02971356,纸箱  
479: n02974003,车轮  
480: n02977058,取款机,自动取款机  
481: n02978881,盒式录音带  
482: n02979186,卡带播放器  
483: n02980441,城堡  
484: n02981792,双体船  
485: n02988304,CD播放器  
486: n02992211,大提琴  
487: n02992529,移动电话,手机  
488: n02999410,铁链  
489: n03000134,围栏  
490: n03000247,链甲  
491: n03000684,电锯,油锯  
492: n03014705,箱子  
493: n03016953,衣柜,洗脸台  
494: n03017168,编钟,钟,锣  
495: n03018349,中国橱柜  
496: n03026506,圣诞袜  
497: n03028079,教堂,教堂建筑  
498: n03032252,电影院,剧场  
499: n03041632,切肉刀,菜刀  
500: n03042490,悬崖屋  
501: n03045698,斗篷  
502: n03047690,木屐,木鞋  
503: n03062245,鸡尾酒调酒器  
504: n03063599,咖啡杯  
505: n03063689,咖啡壶  
506: n03065424,螺旋结构（楼梯）  
507: n03075370,组合锁  
508: n03085013,电脑键盘,键盘  
509: n03089624,糖果,糖果店  
510: n03095699,集装箱船  
511: n03100240,敞篷车  
512: n03109150,开瓶器,瓶螺杆  
513: n03110669,短号,喇叭  
514: n03124043,牛仔靴  
515: n03124170,牛仔帽  
516: n03125729,摇篮  
517: n03126707,起重机  
518: n03127747,头盔  
519: n03127925,板条箱  
520: n03131574,小儿床  
521: n03133878,砂锅  
522: n03134739,槌球  
523: n03141823,拐杖  
524: n03146219,胸甲  
525: n03160309,大坝,堤防  
526: n03179701,书桌  
527: n03180011,台式电脑  
528: n03187595,有线电话  
529: n03188531,尿布湿  
530: n03196217,数字时钟  
531: n03197337,数字手表  
532: n03201208,餐桌板  
533: n03207743,抹布  
534: n03207941,洗碗机,洗碟机  
535: n03208938,盘式制动器  
536: n03216828,码头,船坞,码头设施  
537: n03218198,狗拉雪橇  
538: n03220513,圆顶  
539: n03223299,门垫,垫子  
540: n03240683,钻井平台,海上钻井  
541: n03249569,鼓,乐器,鼓膜  
542: n03250847,鼓槌  
543: n03255030,哑铃  
544: n03259280,荷兰烤箱  
545: n03271574,电风扇,鼓风机  
546: n03272010,电吉他  
547: n03272562,电力机车  
548: n03290653,电视,电视柜  
549: n03291819,信封  
550: n03297495,浓缩咖啡机  
551: n03314780,扑面粉  
552: n03325584,女用长围巾  
553: n03337140,文件,文件柜,档案柜  
554: n03344393,消防船  
555: n03345487,消防车  
556: n03347037,火炉栏  
557: n03355925,旗杆  
558: n03372029,长笛  
559: n03376595,折叠椅  
560: n03379051,橄榄球头盔  
561: n03384352,叉车  
562: n03388043,喷泉  
563: n03388183,钢笔  
564: n03388549,有四根帷柱的床  
565: n03393912,运货车厢  
566: n03394916,圆号,喇叭  
567: n03400231,煎锅  
568: n03404251,裘皮大衣  
569: n03417042,垃圾车  
570: n03424325,防毒面具,呼吸器  
571: n03425413,汽油泵  
572: n03443371,高脚杯  
573: n03444034,卡丁车  
574: n03445777,高尔夫球  
575: n03445924,高尔夫球车  
576: n03447447,狭长小船  
577: n03447721,锣  
578: n03450230,礼服  
579: n03452741,钢琴  
580: n03457902,温室,苗圃  
581: n03459775,散热器格栅  
582: n03461385,杂货店,食品市场  
583: n03467068,断头台  
584: n03476684,小发夹  
585: n03476991,头发喷雾  
586: n03478589,半履带装甲车  
587: n03481172,锤子  
588: n03482405,大篮子  
589: n03483316,手摇鼓风机,吹风机  
590: n03485407,手提电脑  
591: n03485794,手帕  
592: n03492542,硬盘  
593: n03494278,口琴,口风琴  
594: n03495258,竖琴  
595: n03496892,收割机  
596: n03498962,斧头  
597: n03527444,手枪皮套  
598: n03529860,家庭影院  
599: n03530642,蜂窝  
600: n03532672,钩爪  
601: n03534580,衬裙  
602: n03535780,单杠  
603: n03538406,马车  
604: n03544143,沙漏  
605: n03584254,iPod  
606: n03584829,熨斗  
607: n03590841,南瓜灯笼  
608: n03594734,牛仔裤,蓝色牛仔裤  
609: n03594945,吉普车  
610: n03595614,运动衫,T恤  
611: n03598930,拼图  
612: n03599486,人力车  
613: n03602883,操纵杆  
614: n03617480,和服  
615: n03623198,护膝  
616: n03627232,蝴蝶结  
617: n03630383,大褂,实验室外套  
618: n03633091,长柄勺  
619: n03637318,灯罩  
620: n03642806,笔记本电脑  
621: n03649909,割草机  
622: n03657121,镜头盖  
623: n03658185,开信刀,裁纸刀  
624: n03661043,图书馆  
625: n03662601,救生艇  
626: n03666591,点火器,打火机  
627: n03670208,豪华轿车  
628: n03673027,远洋班轮  
629: n03676483,唇膏,口红  
630: n03680355,平底便鞋  
631: n03690938,洗剂  
632: n03691459,扬声器  
633: n03692522,放大镜  
634: n03697007,锯木厂  
635: n03706229,磁罗盘  
636: n03709823,邮袋  
637: n03710193,信箱  
638: n03710637,女游泳衣  
639: n03710721,有肩带浴衣  
640: n03717622,窨井盖  
641: n03720891,沙球（一种打击乐器）  
642: n03721384,马林巴木琴  
643: n03724870,面膜  
644: n03729826,火柴  
645: n03733131,花柱  
646: n03733281,迷宫  
647: n03733805,量杯  
648: n03742115,药箱  
649: n03743016,巨石,巨石结构  
650: n03759954,麦克风  
651: n03761084,微波炉  
652: n03763968,军装  
653: n03764736,奶桶  
654: n03769881,迷你巴士  
655: n03770439,迷你裙  
656: n03770679,面包车  
657: n03773504,导弹  
658: n03775071,连指手套  
659: n03775546,搅拌钵  
660: n03776460,活动房屋（由汽车拖拉的）  
661: n03777568,T型发动机小汽车  
662: n03777754,调制解调器  
663: n03781244,修道院  
664: n03782006,显示器  
665: n03785016,电瓶车  
666: n03786901,砂浆  
667: n03787032,学士  
668: n03788195,清真寺  
669: n03788365,蚊帐  
670: n03791053,摩托车  
671: n03792782,山地自行车  
672: n03792972,登山帐  
673: n03793489,鼠标,电脑鼠标  
674: n03794056,捕鼠器  
675: n03796401,搬家车  
676: n03803284,口套  
677: n03804744,钉子  
678: n03814639,颈托  
679: n03814906,项链  
680: n03825788,乳头（瓶）  
681: n03832673,笔记本,笔记本电脑  
682: n03837869,方尖碑  
683: n03838899,双簧管  
684: n03840681,陶笛,卵形笛  
685: n03841143,里程表  
686: n03843555,滤油器  
687: n03854065,风琴,管风琴  
688: n03857828,示波器  
689: n03866082,罩裙  
690: n03868242,牛车  
691: n03868863,氧气面罩  
692: n03871628,包装  
693: n03873416,船桨  
694: n03874293,明轮,桨轮  
695: n03874599,挂锁,扣锁  
696: n03876231,画笔  
697: n03877472,睡衣  
698: n03877845,宫殿  
699: n03884397,排箫,鸣管  
700: n03887697,纸巾  
701: n03888257,降落伞  
702: n03888605,双杠  
703: n03891251,公园长椅  
704: n03891332,停车收费表,停车计时器  
705: n03895866,客车,教练车  
706: n03899768,露台,阳台  
707: n03902125,付费电话  
708: n03903868,基座,基脚  
709: n03908618,铅笔盒  
710: n03908714,卷笔刀  
711: n03916031,香水（瓶）  
712: n03920288,培养皿  
713: n03924679,复印机  
714: n03929660,拨弦片,拨子  
715: n03929855,尖顶头盔  
716: n03930313,栅栏,栅栏  
717: n03930630,皮卡,皮卡车  
718: n03933933,桥墩  
719: n03935335,存钱罐  
720: n03937543,药瓶  
721: n03938244,枕头  
722: n03942813,乒乓球  
723: n03944341,风车  
724: n03947888,海盗船  
725: n03950228,水罐  
726: n03954731,木工刨  
727: n03956157,天文馆  
728: n03958227,塑料袋  
729: n03961711,板架  
730: n03967562,犁型铲雪机  
731: n03970156,手压皮碗泵  
732: n03976467,宝丽来相机  
733: n03976657,电线杆  
734: n03977966,警车,巡逻车  
735: n03980874,雨披  
736: n03982430,台球桌  
737: n03983396,充气饮料瓶  
738: n03991062,花盆  
739: n03992509,陶工旋盘  
740: n03995372,电钻  
741: n03998194,祈祷垫,地毯  
742: n04004767,打印机  
743: n04005630,监狱  
744: n04008634,炮弹,导弹  
745: n04009552,投影仪  
746: n04019541,冰球  
747: n04023962,沙包,吊球  
748: n04026417,钱包  
749: n04033901,羽管笔  
750: n04033995,被子  
751: n04037443,赛车  
752: n04039381,球拍  
753: n04040759,散热器  
754: n04041544,收音机  
755: n04044716,射电望远镜,无线电反射器  
756: n04049303,雨桶  
757: n04065272,休闲车,房车  
758: n04067472,卷轴,卷筒  
759: n04069434,反射式照相机  
760: n04070727,冰箱,冰柜  
761: n04074963,遥控器  
762: n04081281,餐厅,饮食店,食堂  
763: n04086273,左轮手枪  
764: n04090263,步枪  
765: n04099969,摇椅  
766: n04111531,电转烤肉架  
767: n04116512,橡皮  
768: n04118538,橄榄球  
769: n04118776,直尺  
770: n04120489,跑步鞋  
771: n04125021,保险柜  
772: n04127249,安全别针  
773: n04131690,盐瓶（调味用）  
774: n04133789,凉鞋  
775: n04136333,纱笼,围裙  
776: n04141076,萨克斯管  
777: n04141327,剑鞘  
778: n04141975,秤,称重机  
779: n04146614,校车  
780: n04147183,帆船  
781: n04149813,记分牌  
782: n04152593,屏幕  
783: n04153751,螺丝  
784: n04154565,螺丝刀  
785: n04162706,安全带  
786: n04179913,缝纫机  
787: n04192698,盾牌,盾牌  
788: n04200800,皮鞋店,鞋店  
789: n04201297,障子  
790: n04204238,购物篮  
791: n04204347,购物车  
792: n04208210,铁锹  
793: n04209133,浴帽  
794: n04209239,浴帘  
795: n04228054,滑雪板  
796: n04229816,滑雪面罩  
797: n04235860,睡袋  
798: n04238763,滑尺  
799: n04239074,滑动门  
800: n04243546,角子老虎机  
801: n04251144,潜水通气管  
802: n04252077,雪橇  
803: n04252225,扫雪机,扫雪机  
804: n04254120,皂液器  
805: n04254680,足球  
806: n04254777,袜子  
807: n04258138,碟式太阳能,太阳能集热器,太阳能炉  
808: n04259630,宽边帽  
809: n04263257,汤碗  
810: n04264628,空格键  
811: n04265275,空间加热器  
812: n04266014,航天飞机  
813: n04270147,铲（搅拌或涂敷用的）  
814: n04273569,快艇  
815: n04275548,蜘蛛网  
816: n04277352,纺锤,纱锭  
817: n04285008,跑车  
818: n04286575,聚光灯  
819: n04296562,舞台  
820: n04310018,蒸汽机车  
821: n04311004,钢拱桥  
822: n04311174,钢滚筒  
823: n04317175,听诊器  
824: n04325704,女用披肩  
825: n04326547,石头墙  
826: n04328186,秒表  
827: n04330267,火炉  
828: n04332243,过滤器  
829: n04335435,有轨电车,电车  
830: n04336792,担架  
831: n04344873,沙发床  
832: n04346328,佛塔  
833: n04347754,潜艇,潜水艇  
834: n04350905,套装,衣服  
835: n04355338,日晷  
836: n04355933,太阳镜  
837: n04356056,太阳镜,墨镜  
838: n04357314,防晒霜,防晒剂  
839: n04366367,悬索桥  
840: n04367480,拖把  
841: n04370456,运动衫  
842: n04371430,游泳裤  
843: n04371774,秋千  
844: n04372370,开关,电器开关  
845: n04376876,注射器  
846: n04380533,台灯  
847: n04389033,坦克,装甲战车,装甲战斗车辆  
848: n04392985,磁带播放器  
849: n04398044,茶壶  
850: n04399382,泰迪,泰迪熊  
851: n04404412,电视  
852: n04409515,网球  
853: n04417672,茅草,茅草屋顶  
854: n04418357,幕布,剧院的帷幕  
855: n04423845,顶针  
856: n04428191,脱粒机  
857: n04429376,宝座  
858: n04435653,瓦屋顶  
859: n04442312,烤面包机  
860: n04443257,烟草店,烟草  
861: n04447861,马桶  
862: n04456115,火炬  
863: n04458633,图腾柱  
864: n04461696,拖车,牵引车,清障车  
865: n04462240,玩具店  
866: n04465501,拖拉机  
867: n04467665,拖车,铰接式卡车  
868: n04476259,托盘  
869: n04479046,风衣  
870: n04482393,三轮车  
871: n04483307,三体船  
872: n04485082,三脚架  
873: n04486054,凯旋门  
874: n04487081,无轨电车  
875: n04487394,长号  
876: n04493381,浴盆,浴缸  
877: n04501370,旋转式栅门  
878: n04505470,打字机键盘  
879: n04507155,伞  
880: n04509417,独轮车  
881: n04515003,直立式钢琴  
882: n04517823,真空吸尘器  
883: n04522168,花瓶  
884: n04523525,拱顶  
885: n04525038,天鹅绒  
886: n04525305,自动售货机  
887: n04532106,祭服  
888: n04532670,高架桥  
889: n04536866,小提琴,小提琴  
890: n04540053,排球  
891: n04542943,松饼机  
892: n04548280,挂钟  
893: n04548362,钱包,皮夹  
894: n04550184,衣柜,壁橱  
895: n04552348,军用飞机  
896: n04553703,洗脸盆,洗手盆  
897: n04554684,洗衣机,自动洗衣机  
898: n04557648,水瓶  
899: n04560804,水壶  
900: n04562935,水塔  
901: n04579145,威士忌壶  
902: n04579432,哨子  
